run_index,run_name,changed_parameter,changed_value,mosaic,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
8,run_08_mosaic_0.5,mosaic,0.5,0.5,9,5216.16,1.10801,1.01974,0.02196,0.7741,0.77665,0.82877,0.68993,0.77373,0.83966,0.01825,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
8,run_08_mosaic_0.5,mosaic,0.5,0.5,10,5752.47,1.08082,0.97284,0.02133,0.83913,0.76018,0.85186,0.69734,0.77357,0.74957,0.01765,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,run_08_mosaic_0.5,mosaic,0.5,0.5,11,6290.48,1.06529,0.92863,0.02106,0.79243,0.77703,0.85415,0.70387,0.77825,0.74611,0.01778,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
8,run_08_mosaic_0.5,mosaic,0.5,0.5,12,6828.96,1.04486,0.90781,0.02052,0.81336,0.77268,0.8374,0.69661,0.76516,0.79428,0.01738,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
8,run_08_mosaic_0.5,mosaic,0.5,0.5,13,7366.47,1.03166,0.87901,0.02024,0.88037,0.74913,0.86304,0.71332,0.75566,0.71688,0.0171,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
8,run_08_mosaic_0.5,mosaic,0.5,0.5,14,7904.1,1.01043,0.86192,0.01984,0.78913,0.7329,0.84611,0.68702,0.78432,0.80958,0.01781,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
8,run_08_mosaic_0.5,mosaic,0.5,0.5,15,8442.82,1.00555,0.81638,0.01965,0.86627,0.71493,0.85464,0.70038,0.76248,0.75378,0.01765,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
8,run_08_mosaic_0.5,mosaic,0.5,0.5,16,8980.78,0.98832,0.79967,0.01918,0.8827,0.74207,0.85345,0.70539,0.75723,0.7537,0.0172,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
8,run_08_mosaic_0.5,mosaic,0.5,0.5,17,9519.15,0.97464,0.78878,0.01888,0.8115,0.81834,0.87357,0.72153,0.74806,0.69347,0.01679,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
8,run_08_mosaic_0.5,mosaic,0.5,0.5,18,10057.6,0.9491,0.77243,0.01841,0.84619,0.76313,0.84382,0.69564,0.74924,0.80853,0.01707,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
8,run_08_mosaic_0.5,mosaic,0.5,0.5,19,10594.6,0.94162,0.73755,0.01823,0.84511,0.74668,0.8391,0.69738,0.75165,0.79903,0.01714,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
8,run_08_mosaic_0.5,mosaic,0.5,0.5,20,11132.4,0.93018,0.72227,0.01798,0.77654,0.79838,0.83809,0.6927,0.74717,0.83181,0.01703,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
8,run_08_mosaic_0.5,mosaic,0.5,0.5,21,11648.5,0.78365,0.37111,0.01895,0.8683,0.76167,0.83403,0.69395,0.74096,0.84407,0.01677,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
8,run_08_mosaic_0.5,mosaic,0.5,0.5,22,12166.9,0.76477,0.35676,0.01833,0.83279,0.76317,0.84135,0.70623,0.72801,0.84842,0.01651,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
8,run_08_mosaic_0.5,mosaic,0.5,0.5,23,12683.2,0.75029,0.35825,0.01801,0.88607,0.71867,0.83905,0.7015,0.73018,0.83662,0.01663,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
8,run_08_mosaic_0.5,mosaic,0.5,0.5,24,13201.0,0.73678,0.32761,0.01762,0.8236,0.76901,0.84941,0.70442,0.75135,0.81958,0.01719,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
8,run_08_mosaic_0.5,mosaic,0.5,0.5,25,13719.2,0.71684,0.32362,0.01713,0.83704,0.77031,0.85928,0.70944,0.75368,0.7968,0.01724,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
8,run_08_mosaic_0.5,mosaic,0.5,0.5,26,14237.8,0.70264,0.31193,0.01676,0.80959,0.78598,0.85197,0.70501,0.75344,0.84577,0.01734,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
